"","fpool_eGFPorf_IL17_1h1","fpool_eGFPorf_IL17_1h2","fpool_eGFPorf_IL17_1h3","fpool2_eGFPorf_IL17_1h1","fpool2_eGFPorf_IL17_1h2","fpool2_eGFPorf_IL17_1h3","fpool_TNFAIP3orf_IL17_1h1","fpool_TNFAIP3orf_IL17_1h2","fpool_TNFAIP3orf_IL17_1h3","fpool2_TNFAIP3orf_IL17_1h1","fpool2_TNFAIP3orf_IL17_1h2","fpool2_TNFAIP3orf_IL17_1h3"
"EBLN3",23.1552403944533,24.4198471790914,24.936887108968,22.0137091943036,21.9261902860881,21.9563950047092,25.8520468268871,23.3903970293803,24.8051813966315,19.073351854381,20.0575482458108,19.105264450051
"EBNA1BP2",112.693031376266,111.638486752728,114.86791711769,110.900629143982,113.613720220457,110.587418714108,108.48950857282,111.951591190846,112.375209658548,122.054808219782,118.777448776405,121.466345683581
"EBP",91.5512901465476,89.1850317622152,95.9772239454443,100.200331505106,93.5321807423759,97.7647551603669,78.4635192780312,75.472813595766,74.1673463772148,88.6062749933848,90.0156814805255,87.8900456889838
"EBPL",17.9851618100033,18.2577228206971,18.0702080499768,16.5832716476982,17.3005886387362,15.835022956441,17.7021354468729,17.04953601884,16.8628513908825,16.437495168171,17.4084381001377,17.414791012823
"ECD",30.1920004962097,28.5469842725614,29.8402624825292,24.9478972235178,26.0347307221046,25.6453271074813,28.9701303305767,30.5295137015801,30.2509334042498,28.1036016126932,27.8607094232017,27.0330019487755
"ECE1",93.9528073794868,90.9113411835836,93.4083240983394,109.557617707725,107.7723259951,110.36189448075,93.5919984996364,89.0732826991339,91.4681939081202,98.3320980438913,101.981730029688,99.2278761559095
"ECE2",6.57533320983795,6.33361204925872,6.76900225872103,6.21872686788683,6.87551664802763,6.83016249596236,6.8135898784329,7.07887096188585,6.46774300100514,6.52862651445543,6.99220909198076,6.74732070203938
"ECH1",35.949349670374,34.6290810418856,35.6129613784948,33.5314920552489,33.832572774136,34.1669213536231,39.92466708428,39.7621688071886,38.8648574913673,36.3894659179553,35.1592781918929,35.9225605410952
"ECHDC1",34.5650689946187,36.1153076960438,36.6092647412503,34.0716162198307,35.3977310354756,31.3478684366575,34.6783678558498,31.5838136320737,34.4118967344676,33.4607362666108,33.7175855956082,32.5416136666392
"ECHDC2",8.00156178485863,6.58512732919318,7.45273986061205,6.53988177655704,6.69384649269357,6.94292461264099,7.5394929163289,7.1240552446213,7.56273335106245,6.69946907745052,6.18125700657062,6.33927538960503
"ECHDC3",2.99927479746994,3.14394099918077,3.04751616842852,4.23340561428916,3.91289565334906,4.94542426004822,2.82112317000491,2.83154838475434,2.39437889879197,3.84395766738964,3.51412570344394,3.87643046812629
"ECHS1",42.1156908623752,42.4946497961997,41.864276595784,44.3047794460951,40.9456580868312,43.3328705522141,41.9044026421781,43.5576485569657,43.6682151602853,42.2225191402164,43.2687990459943,43.1507917899322
"ECI1",19.1177550901668,18.955106096879,18.7734810119218,24.5975464140594,22.8485156900918,23.2773226572302,17.0917169831876,17.9682831011273,16.6146535782028,20.2814528355606,21.6794524166311,21.0580527309868
"ECI2",22.4945609810246,22.8192953976902,23.4228967047807,20.4517285021349,20.808220099417,22.0208304999541,21.051188098984,22.9987999123398,21.4034113757868,20.9770261277549,22.8868699660195,21.3349406215673
"ECM1",27.9897357847807,25.8603437823524,25.669463110994,36.2467108285516,35.2160608801415,37.775309087339,32.7481256868991,28.5112824060637,29.68153842222,40.8191695156138,39.934884917086,39.988440618566
"ECM2",1.8037596684085,2.02355475219999,1.83632384507872,1.47439298980415,2.19401649134215,1.75586724542429,1.451806075792,1.28022134417085,1.21178932073008,2.03790771572721,2.03639079225213,1.85077695282722
"ECSIT",21.1836891289835,19.4581366567479,20.0042086953256,19.8386145855826,17.6499543220709,19.6850437973255,18.510527466348,18.6309859145804,19.5492277163564,20.012985950854,20.9766272759423,19.5570289031033
"ECT2",76.240306914708,79.2158806666311,79.8019458207083,78.5223751698668,80.046665365655,76.1144287580712,86.4154571022555,80.7744361033911,85.4384470471379,86.2266821516674,90.1057872677933,87.8026074077478
"EDA",1.90862941657178,2.38939515937739,2.0902835257811,3.59109579694873,3.4657075786806,3.18955701462393,2.21070470631963,2.2441527091936,2.16078095744641,3.16058741540926,3.5321468608975,3.26436249947477
"EDA2R",5.20153950889892,5.40757851859092,5.35268865480393,4.24800356468326,4.16443894535007,3.41508124798118,4.91634330211381,5.06063966636946,4.93475651092492,4.88121608557415,4.72154325283237,5.02770117106606
"EDARADD",4.50939917102124,5.05317062413782,4.76662785318306,7.72231575847918,7.21090770402898,7.82891267225875,5.52676176579908,4.59373541143656,5.13915470960228,6.94352988172923,6.90210330471297,7.14079296760107
"EDC3",41.1299152296403,38.5618654190427,39.6470132296518,38.4218054372726,38.5559968128216,38.0974865635637,39.4792265837529,38.2560260493406,39.273653888722,38.1222976283341,39.0158058869545,40.9065425715433
"EDC4",53.221397192867,52.7724787353398,52.9212903863644,54.742313977877,52.740243556212,56.4938204559906,48.5200189648212,49.5671581607795,51.3185477393523,56.085172823247,55.613291901682,54.1971613194048
"EDEM1",131.265463775984,132.708607703601,134.540024692097,146.88457686544,154.293860387953,151.423413825581,126.587591131273,120.190192076275,121.675327698368,119.443357613999,117.786285116459,120.329648027514
"EDEM2",16.9364643283705,14.9422941306519,16.8004096464649,18.3204277445962,17.2307155020693,17.2526038518295,13.7096687384449,14.2631719168211,13.5194808553742,13.7528263211052,13.515868090169,13.8881136696404
"EDEM3",44.4647732212327,46.164486380698,46.1913588477515,42.0420971350095,43.6008372801752,39.4989585851408,42.8447770321798,39.9127830829734,41.2154367761569,35.3033953389151,35.8260610176746,36.8406624940724
"EDF1",81.3684375998926,82.2226315131204,83.3573813505415,80.4639025722822,79.3339593716522,81.382030494344,79.6843562054017,85.4434786527201,82.2702749676388,75.9639253317477,78.3559926080731,81.1718710806897
"EDN1",55.8641148465818,57.608431617716,58.1763022408982,69.5008418263127,66.5751246162676,70.0252744574255,39.1822662500681,34.2647477410432,33.9593007231105,56.3292336275257,56.9468575532454,55.8730617097602
"EDNRA",1.64645504616357,1.86349957405987,1.89492992524081,4.70054002690037,4.84919568468616,4.97764200767068,3.06859011474218,2.96710123296067,2.43817851279426,4.68596744215119,3.83850653760799,4.0367339837255
"EDRF1",19.505773158371,20.0640598311355,20.0432794154337,16.9044265563684,17.3005886387362,18.0258297947686,20.9686991174049,21.3420428787069,21.7246085451369,18.1947329589777,18.7600249091546,18.9886800750698
"EEA1",96.1550720909158,96.2731896512773,99.874528276223,86.6388355889867,84.2250789383385,80.3188448228027,105.503407439657,97.9595249704374,106.418462154236,82.1264606397851,79.7796640469042,79.5251167840796
"EED",17.334969371391,18.2577228206971,18.0995110900578,16.8022409036097,16.5180095080664,15.8028052088186,19.8963423568767,20.3781115136842,20.9362154930957,17.7066113504202,18.6879402793403,19.2509949187776
"EEF1A1",5160.06352350034,5222.22318979195,5365.49408331935,4888.80979313309,4951.44803288457,4837.22095465818,4359.36120069548,4323.47315496831,4321.88311206218,4473.71996371021,4416.31890904145,4352.21130242474
"EEF1B2",220.079653495469,221.036201011495,228.085096310815,198.167176599915,196.720828972124,192.33995330611,220.443554371962,222.005442506803,227.290796929228,198.994976768644,192.826384753078,199.869337858467
"EEF1D",293.110946116381,284.23513135139,294.729977135135,309.213785247838,296.387871113858,306.455215384877,256.243772377288,266.572206711527,260.914300611654,296.81454712355,301.493964198036,305.247039794637
